Year,Wage Growth (%),Inflation (CPI) (%),Real Wage Growth (%),Unemployment Rate (%),Employment Cost Index (%),Productivity Growth (%)
2015,2.5,1.6,0.8999999999999999,5.3,1.8,1.2
2016,2.8,2.1,0.6999999999999997,4.9,2.0,1.4
2017,3.0,2.3,0.7000000000000002,4.7,2.2,1.6
2018,3.2,2.4,0.8000000000000003,4.4,2.4,1.5
2019,3.1,2.6,0.5,4.0,2.6,1.8
2020,2.9,2.8,0.10000000000000009,3.8,2.8,1.7
2021,2.4,3.1,-0.7000000000000002,3.6,3.2,2.1
2022,1.8,7.0,-5.2,8.1,4.5,1.9
2023,2.0,6.5,-4.5,6.5,4.0,1.8
2024,2.3,5.8,-3.5,5.0,3.7,1.6
